"","block","start_meter","end_meter","formation_start","release_end","line","mean_occupation","release_end_assumed","buffer_to_next_train","following_train"
"278","25_26_1",4797,5874,2410.73518620891,2481.67791120848,"ic3_s_1",73.0728421872362,FALSE,116.713992360129,"rjx_s"
"10","25_26_1",4797,5874,2598.39190356861,2671.98175356871,"rjx_s",73.0728421872362,FALSE,100.498508845881,"s25_s_1"
"1054","25_26_1",4797,5874,2772.48026241459,2848.8430124147,"s25_s_1",73.0728421872362,FALSE,1249.54889115377,"ic2_s_1"
"577","25_26_1",4797,5874,4098.39190356847,4171.9817535675,"ic2_s_1",73.0728421872362,FALSE,224.734806528484,"ir70_s_2"
"706","25_26_1",4797,5874,4396.71656009599,4469.77698509556,"ir70_s_2",73.0728421872362,FALSE,30.7586417487846,"re_s_2"
"898","25_26_1",4797,5874,4500.53562684434,4571.71662684444,"re_s_2",73.0728421872362,FALSE,1206.6752767236,"ec_s_1"
"116","25_26_1",4797,5874,5778.39190356804,5851.98175356708,"ec_s_1",73.0728421872362,FALSE,46.4101500009656,"ir75_s_2"
"740","25_26_1",4797,5874,5898.39190356804,5971.98175356708,"ir75_s_2",73.0728421872362,FALSE,38.7534326415444,"ic3_s_2"
"422","25_26_1",4797,5874,6010.73518620862,6081.67791120819,"ic3_s_2",73.0728421872362,FALSE,290.802351205717,"s25_s_2"
"1125","25_26_1",4797,5874,6372.4802624139,6448.84301241297,"s25_s_2",73.0728421872362,FALSE,NA,NA
"655","26_27_1",5874,6951,527.955553568511,601.545403568615,"ir46_s_1",73.0728421872372,FALSE,37.5418076405309,"ice_s_1"
"135","26_27_1",5874,6951,639.087211209146,710.029936209246,"ice_s_1",73.0728421872372,FALSE,116.0079488874,"ir70_s_1"
"691","26_27_1",5874,6951,826.037885096647,899.09831009675,"ir70_s_1",73.0728421872372,FALSE,30.5163167474204,"re_s_1"
"757","26_27_1",5874,6951,929.614626844171,1000.79562684427,"re_s_1",73.0728421872372,FALSE,1207.1599267243,"ir_s_1"
"672","26_27_1",5874,6951,2207.95555356857,2281.54540356867,"ir_s_1",73.0728421872372,FALSE,46.4101499999847,"ir75_s_1"
"725","26_27_1",5874,6951,2327.95555356866,2401.54540356876,"ir75_s_1",73.0728421872372,FALSE,37.5418076399546,"ic3_s_1"
